series1,series2,log,i1test,urtest,alpha,alpha.se,beta,beta.se,rho,rho.raw,rho.se,s1.i1.stat,s1.i1.p,s2.i1.stat,s2.i1.p,r.stat,r.p,eps.ljungbox.stat,eps.ljungbox.p,s1.dsd,s2.dsd,residuals.sd,eps.sd,is.cointegrated
AMCR,ARE,FALSE,pp,pp,-57.8569762036784,1.99745418511452,15.9395578724325,0.198097751879384,0.980872930478115,0.975688666577998,0.00620311620773833,-20.9304745811488,0.0584096518128911,-17.8601010954826,0.113473851918933,-29.1163436718354,0.00974005346542082,1.22470665243871,0.268438943439572,0.107965053041587,0.939582274521421,8.71100032977175,1.95941438904381,TRUE
AOS,ARE,FALSE,pp,pp,31.0281020136242,0.622421818494878,1.44816333674561,0.0105616202357008,0.989029800364239,0.983815852758343,0.00490150948402114,-17.2559955923574,0.14717201797736,-17.8601010954826,0.113473851918933,-23.7217984496291,0.0273501514361937,1.08669803059143,0.297203978218762,0.487469074063325,0.939582274521421,5.42127171183465,0.96540587118436,TRUE
AIZ,ATO,FALSE,pp,pp,-5.58384442198291,0.711007753564847,0.902130047425201,0.00780473381254782,0.9886476437484,0.983435086850546,0.00498958599239027,-20.3208540945448,0.0673724891302988,-17.2589907285948,0.147004943521369,-22.0913135355033,0.0397615504589927,3.53395657459289,0.0601241528619902,0.919133003787718,0.595465551111164,4.97109992179569,0.900431480745012,TRUE
AMCR,ATO,FALSE,pp,pp,-50.37747540862,1.65724000205847,12.2257618539679,0.170067634261024,0.987512323464117,0.982303898115957,0.005277930533997,-20.9304745811488,0.0584096518128911,-17.2589907285948,0.147004943521369,-22.4340196318696,0.0371528405760021,0.626897042742853,0.428495788597335,0.107965053041587,0.595465551111164,7.47842519198954,1.43282997452659,TRUE
AFL,ATVI,FALSE,pp,pp,-43.8604129435137,0.760551682495671,2.69158972842868,0.0209043893127794,0.985441138557817,0.980240250468953,0.0054587096512221,-7.98231116797641,0.664475959241858,-7.93420258811461,0.667159548291505,-22.1447912037691,0.0393544735986645,3.72514320881587,0.0535990314257048,0.297041810367324,0.69005988384965,4.6217073505331,0.916498757150005,TRUE
AMT,ATVI,FALSE,pp,pp,-37.4640396207169,0.718365525308691,0.748807621465754,0.00571379996615266,0.983889119732113,0.978693879602678,0.00561302665845355,-13.7327389327209,0.34370604617058,-7.93420258811461,0.667159548291505,-24.8836095013131,0.0222171000595537,3.37708059122577,0.0661090588120118,1.12768519376864,0.69005988384965,4.54657737206013,0.927134379045386,TRUE
AOS,ATVI,FALSE,pp,pp,-7.74340797866953,0.455508764161981,1.17100635717155,0.00777223404020638,0.989654384944452,0.984438164409703,0.00485696438852247,-17.2559955923574,0.14717201797736,-7.93420258811461,0.667159548291505,-21.7120870453584,0.0426482568911885,0.032923437029375,0.856015815082053,0.487469074063325,0.69005988384965,3.98948187868955,0.703905555778596,TRUE
ALK,AVB,FALSE,pp,pp,75.1835703071483,1.20880541188565,1.14065930072605,0.0137627594445907,0.988798120469103,0.983585015970666,0.00497619186509489,-5.52241714709991,0.801693575656202,-12.3901979938891,0.418595560109695,-24.3629624849919,0.023915185531357,0.414637055680762,0.519625252755584,1.10879779533341,1.53515491729218,9.80377885271199,1.77165525425123,TRUE
AEE,AVGO,FALSE,pp,pp,-157.030841022943,2.6907781417352,7.00476448275112,0.0487491965906737,0.980156618295131,0.974974961130242,0.00608771465932343,-19.4133062624331,0.0807155505196797,-19.644229760709,0.0773204386537009,-31.4987303971559,0.00846038393262242,0.236628860526689,0.626651602530546,0.427141377933245,2.49745029652085,16.6128015445078,3.67397209252977,TRUE
AMCR,AVGO,FALSE,pp,pp,-319.689910479497,6.71071007984408,50.2600860326108,0.679701809519007,0.984656328498581,0.979458296415907,0.00564024253381751,-20.9304745811488,0.0584096518128911,-19.644229760709,0.0773204386537009,-24.749564886173,0.022654285343263,1.39787831743576,0.237079132655426,0.107965053041587,2.49745029652085,29.8886919750184,6.11955737074161,TRUE
